Timestamp,Accuracy,Samplerate
1675253696988495,0,8364
1.771439999999999959e-01,3.025599999999999817e-02,-4.035759999999999903e-01
1.683600000000000096e-01,1.707999999999999796e-02,-3.884480000000000155e-01
1.654319999999999957e-01,3.415999999999999766e-03,-3.533120000000000149e-01
1.678719999999999934e-01,1.464000000000000024e-03,-2.796239999999999837e-01
1.620159999999999934e-01,5.856000000000000094e-03,-1.908080000000000054e-01
1.546960000000000002e-01,7.807999999999999836e-03,-9.467199999999999227e-02
1.454239999999999977e-01,1.561599999999999967e-02,4.392000000000000071e-02
1.381040000000000045e-01,2.391199999999999923e-02,1.795839999999999936e-01
1.249279999999999974e-01,3.367200000000000054e-02,3.230560000000000098e-01
1.298080000000000067e-01,4.147999999999999604e-02,4.865359999999999685e-01
1.210239999999999927e-01,4.831200000000000078e-02,6.490399999999999503e-01
1.219999999999999973e-01,9.320799999999999919e-02,7.700639999999999707e-01
1.278559999999999974e-01,5.026399999999999618e-02,9.462319999999999620e-01
1.151679999999999926e-01,1.366399999999999906e-02,1.104832000000000036e+00
5.367999999999999855e-02,4.392000000000000071e-02,1.215119999999999978e+00
5.856000000000000094e-02,8.784000000000000141e-03,1.414711999999999970e+00
3.269599999999999590e-02,-6.295199999999999407e-02,1.565992000000000051e+00
3.415999999999999766e-03,-8.686399999999999677e-02,1.668471999999999955e+00
-3.757599999999999829e-02,-1.000400000000000039e-01,1.791447999999999929e+00
-4.538400000000000073e-02,-1.693359999999999865e-01,1.916375999999999857e+00
-7.076000000000000345e-02,-2.391199999999999992e-01,2.014952000000000076e+00
-1.127279999999999949e-01,-2.654719999999999858e-01,2.090103999999999740e+00
-1.268799999999999928e-01,-3.098799999999999888e-01,2.172088000000000019e+00
-1.390800000000000092e-01,-3.635599999999999943e-01,2.246751999999999860e+00
-1.512799999999999978e-01,-3.899119999999999808e-01,2.286280000000000090e+00
-1.761679999999999913e-01,-3.923519999999999786e-01,2.315560000000000063e+00
-1.727519999999999889e-01,-4.206559999999999744e-01,2.376071999999999740e+00
-1.844639999999999891e-01,-4.255359999999999698e-01,2.381440000000000001e+00
-1.795839999999999936e-01,-4.011359999999999926e-01,2.373631999999999742e+00
-1.712879999999999958e-01,-3.884480000000000155e-01,2.377047999999999828e+00
-1.615280000000000049e-01,-3.581920000000000104e-01,2.342400000000000038e+00
-1.507920000000000094e-01,-3.181760000000000144e-01,2.293111999999999817e+00
-1.351759999999999906e-01,-2.840159999999999907e-01,2.240895999999999777e+00
-1.127279999999999949e-01,-2.493680000000000063e-01,2.155984000000000123e+00
-9.125600000000000378e-02,-2.049600000000000033e-01,2.049599999999999866e+00
-6.783200000000000340e-02,-1.703119999999999912e-01,1.942239999999999966e+00
-4.196799999999999836e-02,-1.390800000000000092e-01,1.817799999999999860e+00
-1.415199999999999965e-02,-1.176080000000000042e-01,1.677743999999999902e+00
1.171200000000000019e-02,-1.000400000000000039e-01,1.516704000000000052e+00
2.683999999999999928e-02,-7.612800000000000122e-02,1.376160000000000050e+00
5.124000000000000082e-02,-6.539199999999999180e-02,1.208288000000000029e+00
6.099999999999999867e-02,-5.124000000000000082e-02,1.056519999999999904e+00
7.954400000000000359e-02,-3.269599999999999590e-02,9.062160000000000215e-01
8.784000000000000141e-02,-1.464000000000000024e-02,7.573759999999999382e-01
1.049199999999999994e-01,7.320000000000000118e-03,6.148799999999999821e-01
1.156559999999999949e-01,2.000799999999999801e-02,4.743359999999999799e-01
1.317599999999999882e-01,5.172799999999999621e-02,3.469679999999999986e-01
1.405440000000000023e-01,6.002400000000000097e-02,2.235040000000000082e-01
1.507920000000000094e-01,7.563999999999999890e-02,1.102879999999999971e-01
