Timestamp,Accuracy,Samplerate
1675253696984314,0,8390
1.302959999999999952e-01,5.221599999999999853e-02,-3.640479999999999827e-01
1.449360000000000093e-01,5.807199999999999862e-02,-4.357840000000000047e-01
1.542079999999999840e-01,5.367999999999999855e-02,-4.821440000000000170e-01
1.668959999999999888e-01,5.026399999999999618e-02,-5.011759999999999549e-01
1.615280000000000049e-01,3.123199999999999935e-02,-4.987360000000000126e-01
1.625040000000000096e-01,1.415199999999999965e-02,-4.831199999999999939e-01
1.546960000000000002e-01,-5.367999999999999508e-03,-4.416399999999999770e-01
1.444479999999999931e-01,-1.951999999999999916e-02,-3.781999999999999806e-01
1.390800000000000092e-01,-3.220800000000000052e-02,-3.045120000000000049e-01
1.249279999999999974e-01,-3.708799999999999597e-02,-2.108160000000000034e-01
1.005279999999999924e-01,-4.050399999999999834e-02,-1.205360000000000043e-01
9.320799999999999919e-02,-4.587199999999999611e-02,-1.171200000000000019e-02
8.051999999999999436e-02,-4.099200000000000066e-02,9.857599999999999696e-02
7.563999999999999890e-02,-2.830399999999999930e-02,2.322879999999999945e-01
6.148800000000000099e-02,-1.903200000000000031e-02,3.694159999999999666e-01
6.246399999999999869e-02,-7.320000000000000118e-03,5.080080000000000151e-01
6.880799999999999417e-02,-1.073599999999999902e-02,6.168319999999999359e-01
7.466399999999999426e-02,-3.513600000000000056e-02,7.886079999999999757e-01
5.904799999999999632e-02,3.025599999999999817e-02,9.852719999999999256e-01
6.685599999999999876e-02,1.122399999999999960e-02,1.098975999999999953e+00
7.954400000000000359e-02,-3.464799999999999824e-02,1.241471999999999909e+00
6.783200000000000340e-02,-2.147199999999999803e-02,1.430328000000000044e+00
6.539199999999999180e-02,-1.415199999999999965e-02,1.585023999999999988e+00
7.807999999999999663e-02,-5.270400000000000085e-02,1.700191999999999926e+00
7.661600000000000354e-02,-8.686399999999999677e-02,1.834880000000000067e+00
7.466399999999999426e-02,-9.076800000000000146e-02,1.984696000000000016e+00
8.198400000000000132e-02,-1.044319999999999971e-01,2.089615999999999918e+00
1.010159999999999947e-01,-1.307839999999999836e-01,2.172575999999999841e+00
1.044319999999999971e-01,-1.395679999999999976e-01,2.272615999999999747e+00
1.058960000000000040e-01,-1.332240000000000091e-01,2.337520000000000042e+00
1.180959999999999926e-01,-1.405440000000000023e-01,2.372656000000000098e+00
1.293199999999999905e-01,-1.464000000000000024e-01,2.405839999999999979e+00
1.254159999999999997e-01,-1.249279999999999974e-01,2.421456000000000053e+00
1.337119999999999975e-01,-1.122399999999999926e-01,2.387296000000000085e+00
1.341999999999999860e-01,-1.039439999999999947e-01,2.346303999999999945e+00
1.298080000000000067e-01,-7.368800000000000350e-02,2.300920000000000076e+00
1.254159999999999997e-01,-6.246399999999999869e-02,2.219911999999999885e+00
1.210239999999999927e-01,-5.416800000000000087e-02,2.138904000000000138e+00
1.097999999999999948e-01,-4.245600000000000068e-02,2.034959999999999880e+00
9.515999999999999459e-02,-3.367200000000000054e-02,1.929551999999999934e+00
9.125600000000000378e-02,-3.513600000000000056e-02,1.803159999999999874e+00
7.710399999999999199e-02,-4.099200000000000066e-02,1.673839999999999995e+00
6.978399999999999881e-02,-4.684800000000000075e-02,1.549887999999999932e+00
5.953599999999999864e-02,-5.075199999999999850e-02,1.396168000000000076e+00
5.660799999999999860e-02,-6.783200000000000340e-02,1.255624000000000073e+00
4.343199999999999839e-02,-7.320000000000000118e-02,1.099952000000000041e+00
4.294399999999999606e-02,-7.515199999999999658e-02,9.569679999999999298e-01
4.343199999999999839e-02,-8.149599999999999900e-02,7.944639999999999480e-01
3.757599999999999829e-02,-7.515199999999999658e-02,6.412320000000000242e-01
3.952800000000000064e-02,-6.343999999999999639e-02,4.836079999999999823e-01
4.587199999999999611e-02,-4.635999999999999843e-02,3.420880000000000032e-01
5.270400000000000085e-02,-3.367200000000000054e-02,1.942240000000000077e-01
7.027200000000000113e-02,-1.268799999999999963e-02,5.611999999999999628e-02
8.198400000000000132e-02,8.784000000000000141e-03,-7.661600000000000354e-02
1.068719999999999948e-01,3.171999999999999820e-02,-1.903199999999999892e-01
1.190719999999999973e-01,4.099200000000000066e-02,-2.835280000000000022e-01
1.356640000000000068e-01,5.611999999999999628e-02,-3.781999999999999806e-01
1.424959999999999838e-01,5.367999999999999855e-02,-4.391999999999999793e-01
1.512799999999999978e-01,5.611999999999999628e-02,-4.748239999999999683e-01
1.659199999999999842e-01,4.587199999999999611e-02,-4.997119999999999895e-01
1.639680000000000026e-01,2.781600000000000045e-02,-5.031280000000000197e-01
1.659199999999999842e-01,1.024800000000000016e-02,-4.816559999999999730e-01
1.566480000000000095e-01,-5.856000000000000094e-03,-4.357840000000000047e-01
1.429840000000000000e-01,-1.854399999999999799e-02,-3.723440000000000083e-01
1.322480000000000044e-01,-3.220800000000000052e-02,-3.015840000000000187e-01
1.180959999999999926e-01,-3.952800000000000064e-02,-2.108160000000000034e-01
9.808799999999999464e-02,-4.245600000000000068e-02,-1.054080000000000017e-01
8.686399999999999677e-02,-4.392000000000000071e-02,-9.759999999999999796e-04
7.563999999999999890e-02,-3.562399999999999595e-02,1.185839999999999950e-01
7.173599999999999421e-02,-2.928000000000000047e-02,2.337519999999999876e-01
6.587999999999999412e-02,-1.854399999999999799e-02,3.757599999999999829e-01
6.539199999999999180e-02,-8.295999999999999555e-03,5.192320000000000269e-01
7.905600000000000127e-02,-2.391199999999999923e-02,6.251280000000000170e-01
6.685599999999999876e-02,-9.271999999999998993e-03,8.315519999999999579e-01
5.416800000000000087e-02,2.830399999999999930e-02,9.969839999999999813e-01
7.173599999999999421e-02,-8.295999999999999555e-03,1.096535999999999955e+00
7.368800000000000350e-02,-3.562399999999999595e-02,1.260991999999999891e+00
6.392799999999999871e-02,-1.073599999999999902e-02,1.448383999999999894e+00
6.978399999999999881e-02,-1.512799999999999909e-02,1.586975999999999942e+00
7.124799999999999189e-02,-6.148800000000000099e-02,1.696776000000000062e+00
7.222399999999999654e-02,-8.442399999999999904e-02,1.852447999999999873e+00
7.612800000000000122e-02,-8.003199999999999203e-02,1.993479999999999919e+00
8.198400000000000132e-02,-1.107759999999999995e-01,2.081319999999999837e+00
1.005279999999999924e-01,-1.332240000000000091e-01,2.178919999999999746e+00
