Timestamp,is_synced,Samplerate
1699002480003374,1,837.9
-3.629255999999999815e+00,5.597360000000000113e-01,1.015039999999999970e-01
-3.634624000000000077e+00,9.476959999999999829e-01,9.711200000000000387e-02
-3.605344000000000104e+00,1.331264000000000003e+00,1.039439999999999947e-01
-3.518968000000000096e+00,1.709463999999999873e+00,1.444479999999999931e-01
-3.366712000000000149e+00,2.082783999999999747e+00,9.027999999999999914e-02
-3.223240000000000105e+00,2.430239999999999956e+00,3.757599999999999829e-02
-3.078304000000000151e+00,2.719624000000000041e+00,8.832800000000000373e-02
-2.918727999999999767e+00,3.015839999999999854e+00,1.659199999999999842e-01
-2.696687999999999974e+00,3.370616000000000057e+00,1.790960000000000052e-01
-2.461472000000000104e+00,3.685864000000000029e+00,1.732400000000000051e-01
-2.204784000000000077e+00,3.927912000000000070e+00,2.005679999999999963e-01
-1.944679999999999964e+00,4.145071999999999868e+00,2.181359999999999966e-01
-1.654320000000000013e+00,4.353936000000000028e+00,1.947119999999999962e-01
-1.356152000000000024e+00,4.530591999999999508e+00,2.332639999999999991e-01
-1.052127999999999952e+00,4.695535999999999710e+00,2.308240000000000014e-01
-7.207759999999999723e-01,4.822415999999999592e+00,1.537199999999999955e-01
-3.982080000000000064e-01,4.860479999999999912e+00,1.024800000000000016e-01
-1.039439999999999947e-01,4.861944000000000266e+00,1.561599999999999933e-01
2.152079999999999826e-01,4.880975999999999537e+00,2.147199999999999942e-01
5.787679999999999492e-01,4.894152000000000058e+00,1.883680000000000077e-01
9.106079999999999730e-01,4.858527999999999736e+00,1.668959999999999888e-01
1.233176000000000050e+00,4.776055999999999635e+00,1.537199999999999955e-01
1.556232000000000060e+00,4.654055999999999749e+00,1.688479999999999981e-01
1.826583999999999985e+00,4.511560000000000237e+00,2.147199999999999942e-01
2.080832000000000015e+00,4.315383999999999887e+00,2.381439999999999946e-01
2.349720000000000031e+00,4.099199999999999733e+00,2.083760000000000057e-01
2.591279999999999806e+00,3.848367999999999789e+00,1.395679999999999976e-01
2.824543999999999944e+00,3.543855999999999895e+00,1.239519999999999927e-01
3.002175999999999956e+00,3.237880000000000091e+00,1.161439999999999972e-01
3.144671999999999912e+00,2.938736000000000015e+00,1.273680000000000090e-01
3.306687999999999850e+00,2.607384000000000146e+00,1.537199999999999955e-01
3.416487999999999747e+00,2.275544000000000011e+00,1.522560000000000024e-01
3.494568000000000119e+00,1.925648000000000026e+00,1.224879999999999997e-01
3.537511999999999990e+00,1.559159999999999879e+00,1.400559999999999861e-01
3.542391999999999985e+00,1.164855999999999892e+00,1.771439999999999959e-01
3.544343999999999717e+00,7.471280000000000143e-01,1.898320000000000007e-01
3.486759999999999859e+00,3.840560000000000085e-01,1.356640000000000068e-01
3.426736000000000004e+00,5.953599999999999864e-02,8.051999999999999436e-02
3.345727999999999813e+00,-3.030479999999999841e-01,7.759199999999999431e-02
3.201767999999999947e+00,-6.705119999999999969e-01,8.100799999999999668e-02
3.024135999999999935e+00,-1.053104000000000040e+00,8.686399999999999677e-02
2.823567999999999856e+00,-1.384455999999999909e+00,8.686399999999999677e-02
2.602991999999999972e+00,-1.674328000000000038e+00,5.611999999999999628e-02
2.385831999999999731e+00,-1.937359999999999971e+00,2.781600000000000045e-02
2.119384000000000157e+00,-2.190144000000000091e+00,5.856000000000000094e-03
