Timestamp,Accuracy,Samplerate
1674153356983032,0,8346
-3.718071999999999822e+00,4.081144000000000105e+00,3.747840000000000060e-01
-3.536048000000000080e+00,2.904087999999999781e+00,-5.428023999999999738e+00
-5.826719999999999899e+00,3.183711999999999875e+00,3.221775999999999751e+00
-4.289519999999999555e+00,-3.894239999999999924e-01,-2.789896000000000154e+00
-3.784927999999999848e+00,9.964959999999999374e-01,-7.954400000000000359e-02
-3.266183999999999976e+00,2.077903999999999751e+00,-2.176968000000000014e+00
-3.017792000000000030e+00,1.023336000000000023e+00,8.325279999999999347e-01
-2.595671999999999979e+00,-1.130207999999999879e+00,-8.637599999999999445e-02
-2.368751999999999747e+00,-1.365423999999999971e+00,1.668959999999999999e+00
-5.397279999999999855e-01,-1.696288000000000018e+00,-2.593719999999999803e+00
-3.664879999999999804e-01,6.036559999999999704e-01,5.217208000000000290e+00
-1.383480000000000043e+00,-2.850896000000000097e+00,5.343599999999999461e-01
-3.269599999999999590e-02,-3.883992000000000111e+00,-2.786967999999999890e+00
4.089439999999999742e-01,-1.863183999999999951e+00,2.361431999999999753e+00
2.415599999999999969e+00,-2.879199999999999982e+00,1.646023999999999932e+00
2.413159999999999972e+00,-4.845839999999999925e+00,3.533120000000000149e-01
2.254560000000000120e+00,-3.833727999999999803e+00,-3.061711999999999989e+00
3.013888000000000122e+00,-3.611688000000000009e+00,1.270751999999999882e+00
4.786304000000000336e+00,-4.814607999999999777e+00,-2.790871999999999797e+00
3.868376000000000037e+00,-3.600951999999999931e+00,1.854400000000000048e+00
5.720823999999999465e+00,-4.500335999999999892e+00,-2.438536000000000037e+00
4.894152000000000058e+00,-4.055767999999999596e+00,3.596559999999999757e-01
5.019567999999999586e+00,-4.094807999999999559e+00,-9.647759999999999669e-01
6.674375999999999642e+00,-3.899119999999999919e+00,-4.967840000000000034e-01
6.764655999999999558e+00,-3.645359999999999712e+00,-1.078479999999999994e-01
5.515375999999999834e+00,-2.816736000000000129e+00,4.557919999999999749e-01
6.546520000000000117e+00,-2.356063999999999936e+00,-5.324079999999999924e-01
6.757335999999999565e+00,-3.022183999999999759e+00,-1.811455999999999955e+00
5.675440000000000040e+00,-2.086199999999999832e+00,1.731424000000000074e+00
5.807199999999999918e+00,-2.643008000000000024e+00,-1.341999999999999860e-01
5.504640000000000200e+00,5.714479999999999560e-01,1.840735999999999928e+00
5.449983999999999718e+00,-8.896239999999999704e-01,-1.460096000000000060e+00
4.727255999999999680e+00,6.304959999999999454e-01,1.758264000000000049e+00
5.183536000000000143e+00,5.719359999999999999e-01,-1.570384000000000002e+00
4.296839999999999549e+00,8.208159999999999901e-01,8.564399999999999791e-01
4.060159999999999769e+00,2.056919999999999860e+00,-4.684800000000000075e-01
3.256423999999999985e+00,1.523047999999999957e+00,-2.419016000000000055e+00
2.636664000000000119e+00,3.046583999999999737e+00,2.769887999999999906e+00
1.360055999999999932e+00,3.218847999999999931e+00,-2.675215999999999816e+00
1.112152000000000029e+00,4.860967999999999734e+00,-4.816559999999999730e-01
-2.152079999999999826e-01,1.559647999999999923e+00,-7.095519999999999605e-01
-7.188240000000000185e-01,5.409480000000000288e+00,4.335879999999999512e+00
2.649839999999999973e-01,5.797439999999999927e+00,-4.965399999999999814e+00
-2.405839999999999923e-01,3.239344000000000001e+00,-1.114592000000000027e+00
-1.751919999999999922e+00,4.203143999999999991e+00,-1.890511999999999970e+00
-3.568744000000000138e+00,8.086648000000000280e+00,1.502551999999999888e+00
-4.235351999999999784e+00,5.992639999999999745e+00,-2.773791999999999813e+00
-3.176391999999999882e+00,7.185799999999999521e+00,9.813680000000000181e-01
-3.256423999999999985e+00,6.558720000000000105e+00,2.142808000000000046e+00
-4.170447999999999489e+00,4.936607999999999663e+00,-4.398831999999999631e+00
-6.052664000000000044e+00,6.722199999999999953e+00,2.081319999999999837e+00
-3.724415999999999727e+00,5.845264000000000237e+00,-2.326783999999999963e+00
-4.124576000000000242e+00,5.063487999999999545e+00,1.480103999999999864e+00
-5.353848000000000162e+00,5.341648000000000174e+00,-6.876407999999999632e+00
-6.103416000000000174e+00,5.127904000000000018e+00,6.057056000000000218e+00
-6.921304000000000123e+00,5.647135999999999711e+00,-2.360456000000000110e+00
-6.344975999999999949e+00,4.420303999999999789e+00,4.206559999999999744e-01
-3.927423999999999804e+00,2.866511999999999727e+00,-2.932392000000000110e+00
-5.434855999999999909e+00,3.516039999999999832e+00,2.573712000000000000e+00
-6.767095999999999556e+00,4.639415999999999762e+00,-2.111575999999999897e+00
-7.328783999999999743e+00,2.286280000000000090e+00,1.747039999999999982e-01
-4.131407999999999525e+00,7.515199999999999658e-01,-2.288719999999999921e-01
-4.065527999999999587e+00,1.951511999999999913e+00,2.271640000000000104e+00
-4.591592000000000340e+00,9.691680000000000295e-01,-1.415688000000000057e+00
-4.012336000000000347e+00,1.042856000000000005e+00,1.337119999999999864e+00
-3.117344000000000115e+00,-5.602239999999999442e-01,-5.416799999999999393e-01
-1.368352000000000013e+00,-8.705920000000000325e-01,-9.076799999999999313e-01
-9.759999999999999787e-01,-9.374479999999999480e-01,-7.764079999999999870e-01
-1.800232000000000054e+00,-6.705119999999999969e-01,3.192495999999999778e+00
-4.431039999999999979e-01,-3.541903999999999719e+00,-1.464976000000000056e+00
-5.524160000000000181e-01,-2.692295999999999800e+00,-2.842600000000000016e+00
1.283927999999999958e+00,-2.149151999999999951e+00,4.870240000000000125e-01
1.218048000000000020e+00,-3.592655999999999850e+00,-1.195599999999999996e-01
2.269687999999999928e+00,-3.178344000000000058e+00,1.843663999999999970e+00
1.972983999999999849e+00,-4.626240000000000130e+00,-3.195424000000000042e+00
4.214856000000000158e+00,-3.282776000000000138e+00,1.583559999999999857e+00
3.844463999999999881e+00,-4.305623999999999896e+00,-1.631383999999999945e+00
4.253896000000000122e+00,-4.088464000000000098e+00,1.996896000000000004e+00
4.074311999999999934e+00,-4.807287999999999784e+00,-1.751919999999999922e+00
5.564175999999999789e+00,-3.295951999999999771e+00,1.356640000000000068e+00
5.987759999999999749e+00,-4.084071999999999925e+00,7.320000000000000118e-02
4.768735999999999642e+00,-3.660975999999999786e+00,7.378559999999999564e-01
6.532855999999999774e+00,-4.140679999999999694e+00,1.986159999999999870e-01
6.618743999999999517e+00,-3.700991999999999837e+00,6.875919999999999810e-01
4.859992000000000090e+00,-2.201855999999999813e+00,9.706319999999999393e-01
6.074624000000000024e+00,-3.329136000000000095e+00,-1.256111999999999895e+00
5.688127999999999851e+00,-2.254071999999999854e+00,3.058783999999999725e+00
5.408503999999999756e+00,-3.061223999999999723e+00,-3.523359999999999825e-01
6.185888000000000275e+00,-1.029680000000000040e-01,6.714879999999999738e-01
5.112287999999999499e+00,-1.535735999999999990e+00,-2.011535999999999991e+00
4.584272000000000347e+00,2.044719999999999871e-01,3.077815999999999885e+00
4.707247999999999877e+00,-7.520080000000000098e-01,-2.201367999999999991e+00
4.297816000000000081e+00,1.223416000000000059e+00,1.420568000000000053e+00
3.964023999999999770e+00,9.921039999999999859e-01,-7.842160000000000242e-01
3.282287999999999872e+00,1.638215999999999894e+00,-4.250479999999999814e-01
2.439999999999999947e+00,2.175504000000000104e+00,-1.371767999999999876e+00
2.431216000000000044e+00,2.981679999999999886e+00,9.662399999999999878e-01
1.947608000000000006e+00,4.288543999999999912e+00,5.104480000000000128e-01
1.244887999999999995e+00,2.199904000000000082e+00,-1.562087999999999921e+00
2.190144000000000091e+00,4.936607999999999663e+00,2.701080000000000148e+00
