Timestamp,Accuracy,Samplerate
1673620676984040,0,8340
-6.142456000000000138e+00,-1.869040000000000035e+00,-8.832799999999999541e-01
-6.639240000000000030e+00,-3.750767999999999880e+00,8.652239999999999931e-01
-1.662615999999999872e+00,-7.957816000000000223e+00,-5.612000000000000322e-01
-2.195511999999999908e+00,-6.178568000000000282e+00,5.821840000000000348e-01
-4.460808000000000106e+00,-3.267647999999999886e+00,-7.359040000000000026e-01
-6.580680000000000085e+00,-1.969079999999999941e+00,2.867976000000000081e+00
-5.635912000000000255e+00,-5.483655999999999864e+00,-1.747527999999999970e+00
-6.021919999999999717e+00,-6.029239999999999711e+00,-2.425360000000000016e-01
-1.516704000000000052e+00,-8.175952000000000552e+00,2.525888000000000133e+00
1.367863999999999969e+00,-8.154968000000000217e+00,-3.859592000000000134e+00
-3.976223999999999759e+00,-4.794599999999999973e+00,1.143872000000000000e+00
4.728720000000000145e-01,-4.014287999999999634e+00,1.803159999999999874e+00
-2.694247999999999976e+00,-5.524648000000000003e+00,2.110111999999999988e+00
5.582719999999999905e-01,-6.172223999999999933e+00,-2.614215999999999873e+00
8.764480000000000048e-01,-8.261352000000000473e+00,8.647359999999999491e-01
5.635912000000000255e+00,-8.788880000000000692e+00,-2.380951999999999735e+00
1.727031999999999901e+00,-6.107807999999999460e+00,1.126303999999999972e+00
3.976223999999999759e+00,-5.838919999999999888e+00,-3.013888000000000122e+00
3.831776000000000071e+00,-4.286591999999999736e+00,2.870903999999999900e+00
5.361655999999999977e+00,-4.940512000000000015e+00,-9.857599999999999696e-02
5.118144000000000027e+00,-4.692607999999999890e+00,-6.148800000000000099e-02
6.072671999999999848e+00,-4.578903999999999641e+00,-3.445280000000000009e-01
5.729607999999999812e+00,-3.946455999999999964e+00,-1.565015999999999963e+00
6.629480000000000040e+00,-3.961583999999999772e+00,1.561599999999999933e-01
6.778807999999999723e+00,-2.522959999999999869e+00,-9.271999999999999686e-02
6.689503999999999451e+00,-2.046183999999999781e+00,1.604543999999999970e+00
8.013448000000000349e+00,-1.191695999999999867e+00,-3.025599999999999817e-02
7.197023999999999866e+00,-9.657519999999999438e-01,1.205359999999999987e+00
7.965624000000000038e+00,-3.933280000000000109e-01,-1.458631999999999929e+00
7.898767999999999567e+00,4.255848000000000297e+00,5.062999999999999723e+00
5.446080000000000254e+00,7.461520000000000152e+00,-5.319199999999999623e-02
4.910744000000000220e+00,5.063487999999999545e+00,-1.547935999999999979e+00
