Timestamp,is_synced,Samplerate
1716880559999275,1,1024.0247802734375
-2.897949218750000000e+00,-1.728027343750000000e+00,7.827148437500000000e-01
-2.619628906250000000e+00,-1.925781250000000000e+00,9.614257812500000000e-01
-2.349609375000000000e+00,-2.116699218750000000e+00,8.359375000000000000e-01
-2.091308593750000000e+00,-2.240722656250000000e+00,8.212890625000000000e-01
-1.787597656250000000e+00,-2.398437500000000000e+00,8.715820312500000000e-01
-1.320312500000000000e+00,-2.455078125000000000e+00,9.497070312500000000e-01
-9.931640625000000000e-01,-2.510742187500000000e+00,8.046875000000000000e-01
-6.791992187500000000e-01,-2.560058593750000000e+00,7.661132812500000000e-01
-2.119140625000000000e-01,-2.596191406250000000e+00,8.833007812500000000e-01
5.468750000000000000e-02,-2.663574218750000000e+00,9.282226562500000000e-01
3.422851562500000000e-01,-2.656738281250000000e+00,9.418945312500000000e-01
8.559570312500000000e-01,-2.517089843750000000e+00,7.558593750000000000e-01
1.270019531250000000e+00,-2.439941406250000000e+00,7.236328125000000000e-01
1.470703125000000000e+00,-2.414062500000000000e+00,5.937500000000000000e-01
1.840820312500000000e+00,-2.263671875000000000e+00,6.948242187500000000e-01
2.252441406250000000e+00,-2.113769531250000000e+00,6.206054687500000000e-01
2.572753906250000000e+00,-1.963378906250000000e+00,4.692382812500000000e-01
2.811523437500000000e+00,-1.819824218750000000e+00,4.082031250000000000e-01
3.098632812500000000e+00,-1.552246093750000000e+00,3.935546875000000000e-01
3.441406250000000000e+00,-1.399902343750000000e+00,3.613281250000000000e-01
3.652832031250000000e+00,-1.160156250000000000e+00,2.377929687500000000e-01
3.800292968750000000e+00,-8.603515625000000000e-01,1.337890625000000000e-01
4.061523437500000000e+00,-6.416015625000000000e-01,1.123046875000000000e-01
4.258300781250000000e+00,-4.204101562500000000e-01,-8.789062500000000000e-03
4.292480468750000000e+00,-7.763671875000000000e-02,-2.373046875000000000e-01
4.462402343750000000e+00,2.285156250000000000e-01,-2.348632812500000000e-01
4.624511718750000000e+00,5.371093750000000000e-01,-2.851562500000000000e-01
4.566894531250000000e+00,8.129882812500000000e-01,-2.934570312500000000e-01
4.486816406250000000e+00,1.084472656250000000e+00,-3.618164062500000000e-01
4.637207031250000000e+00,1.369628906250000000e+00,-4.643554687500000000e-01
4.670898437500000000e+00,1.652832031250000000e+00,-5.454101562500000000e-01
4.427734375000000000e+00,1.932617187500000000e+00,-4.335937500000000000e-01
4.385253906250000000e+00,2.242187500000000000e+00,-5.742187500000000000e-01
4.375488281250000000e+00,2.420898437500000000e+00,-7.167968750000000000e-01
4.130371093750000000e+00,2.627441406250000000e+00,-7.543945312500000000e-01
3.940429687500000000e+00,2.920898437500000000e+00,-7.319335937500000000e-01
3.866699218750000000e+00,3.139648437500000000e+00,-6.899414062500000000e-01
3.601562500000000000e+00,3.354492187500000000e+00,-8.496093750000000000e-01
3.270019531250000000e+00,3.587402343750000000e+00,-8.359375000000000000e-01
3.051757812500000000e+00,3.772949218750000000e+00,-7.880859375000000000e-01
2.863769531250000000e+00,3.955078125000000000e+00,-9.306640625000000000e-01
2.543457031250000000e+00,4.116699218750000000e+00,-8.955078125000000000e-01
2.155761718750000000e+00,4.256347656250000000e+00,-8.100585937500000000e-01
1.907226562500000000e+00,4.278320312500000000e+00,-7.036132812500000000e-01
1.619140625000000000e+00,4.412109375000000000e+00,-8.740234375000000000e-01
1.215332031250000000e+00,4.542968750000000000e+00,-7.768554687500000000e-01
8.637695312500000000e-01,4.571289062500000000e+00,-6.982421875000000000e-01
5.781250000000000000e-01,4.563476562500000000e+00,-6.723632812500000000e-01
1.806640625000000000e-01,4.581054687500000000e+00,-5.073242187500000000e-01
-2.270507812500000000e-01,4.600585937500000000e+00,-5.908203125000000000e-01
-5.312500000000000000e-01,4.552734375000000000e+00,-6.137695312500000000e-01
-8.603515625000000000e-01,4.520507812500000000e+00,-6.240234375000000000e-01
-1.297851562500000000e+00,4.421875000000000000e+00,-4.335937500000000000e-01
