Timestamp,is_synced,Samplerate
1716880559999484,1,1024.0242919921875
1.905273437500000000e+00,-2.207519531250000000e+00,-2.187500000000000000e-01
1.729980468750000000e+00,-2.306640625000000000e+00,-2.016601562500000000e-01
1.330566406250000000e+00,-2.477539062500000000e+00,1.313476562500000000e-01
9.858398437500000000e-01,-2.662109375000000000e+00,8.984375000000000000e-02
7.226562500000000000e-01,-2.646484375000000000e+00,-1.069335937500000000e-01
3.178710937500000000e-01,-2.583007812500000000e+00,1.220703125000000000e-02
-2.001953125000000000e-02,-2.767578125000000000e+00,2.446289062500000000e-01
-3.969726562500000000e-01,-2.748046875000000000e+00,2.827148437500000000e-01
-6.948242187500000000e-01,-2.608398437500000000e+00,1.704101562500000000e-01
-1.137207031250000000e+00,-2.641601562500000000e+00,1.259765625000000000e-01
-1.422363281250000000e+00,-2.529785156250000000e+00,3.027343750000000000e-02
-1.721679687500000000e+00,-2.349609375000000000e+00,2.646484375000000000e-01
-2.051757812500000000e+00,-2.278320312500000000e+00,2.670898437500000000e-01
-2.298339843750000000e+00,-2.102539062500000000e+00,1.806640625000000000e-02
-2.636718750000000000e+00,-1.915039062500000000e+00,1.928710937500000000e-01
-2.795410156250000000e+00,-1.797363281250000000e+00,2.553710937500000000e-01
-3.186523437500000000e+00,-1.609375000000000000e+00,3.769531250000000000e-01
-3.303710937500000000e+00,-1.366699218750000000e+00,1.235351562500000000e-01
-3.515625000000000000e+00,-1.029296875000000000e+00,-2.246093750000000000e-02
-3.744140625000000000e+00,-8.354492187500000000e-01,-2.636718750000000000e-02
-3.852050781250000000e+00,-5.966796875000000000e-01,5.224609375000000000e-02
-3.984375000000000000e+00,-2.333984375000000000e-01,1.601562500000000000e-01
-4.011718750000000000e+00,-7.666015625000000000e-02,1.059570312500000000e-01
-4.091796875000000000e+00,2.558593750000000000e-01,2.685546875000000000e-02
-4.132324218750000000e+00,5.581054687500000000e-01,1.235351562500000000e-01
-4.121093750000000000e+00,9.008789062500000000e-01,1.318359375000000000e-01
-4.084472656250000000e+00,1.149414062500000000e+00,2.246093750000000000e-01
-4.076171875000000000e+00,1.412597656250000000e+00,3.046875000000000000e-01
-3.953125000000000000e+00,1.782714843750000000e+00,-1.953125000000000000e-03
-3.858398437500000000e+00,2.045898437500000000e+00,1.083984375000000000e-01
-3.742187500000000000e+00,2.246582031250000000e+00,2.153320312500000000e-01
-3.607421875000000000e+00,2.590820312500000000e+00,6.591796875000000000e-02
-3.418457031250000000e+00,2.870605468750000000e+00,1.953125000000000000e-02
-3.203613281250000000e+00,3.091796875000000000e+00,2.539062500000000000e-02
-3.023437500000000000e+00,3.315429687500000000e+00,3.164062500000000000e-01
-2.779296875000000000e+00,3.529296875000000000e+00,2.299804687500000000e-01
-2.463867187500000000e+00,3.740722656250000000e+00,-9.375000000000000000e-02
-2.279785156250000000e+00,3.880859375000000000e+00,5.273437500000000000e-02
-2.006347656250000000e+00,4.071777343750000000e+00,1.542968750000000000e-01
-1.696777343750000000e+00,4.248535156250000000e+00,1.074218750000000000e-02
-1.419433593750000000e+00,4.316894531250000000e+00,1.533203125000000000e-01
-1.093261718750000000e+00,4.412109375000000000e+00,1.059570312500000000e-01
-7.265625000000000000e-01,4.499511718750000000e+00,-1.430664062500000000e-01
-4.204101562500000000e-01,4.558593750000000000e+00,-6.152343750000000000e-02
-9.863281250000000000e-02,4.610351562500000000e+00,7.812500000000000000e-02
2.338867187500000000e-01,4.661132812500000000e+00,2.495117187500000000e-01
5.834960937500000000e-01,4.583496093750000000e+00,2.866210937500000000e-01
9.428710937500000000e-01,4.500488281250000000e+00,-9.326171875000000000e-02
1.172363281250000000e+00,4.521972656250000000e+00,1.147460937500000000e-01
1.525390625000000000e+00,4.442382812500000000e+00,-2.050781250000000000e-02
1.816894531250000000e+00,4.378417968750000000e+00,1.528320312500000000e-01
2.123046875000000000e+00,4.223632812500000000e+00,6.640625000000000000e-02
2.383300781250000000e+00,4.073730468750000000e+00,-5.615234375000000000e-02
2.669921875000000000e+00,3.877929687500000000e+00,5.810546875000000000e-02
2.892089843750000000e+00,3.743652343750000000e+00,2.573242187500000000e-01
3.199218750000000000e+00,3.597167968750000000e+00,-8.349609375000000000e-02
3.309570312500000000e+00,3.350097656250000000e+00,1.352539062500000000e-01
3.618164062500000000e+00,3.046386718750000000e+00,-1.274414062500000000e-01
3.650390625000000000e+00,2.889160156250000000e+00,-5.029296875000000000e-02
3.887695312500000000e+00,2.584472656250000000e+00,-1.606445312500000000e-01
3.938964843750000000e+00,2.460449218750000000e+00,-8.789062500000000000e-02
4.092285156250000000e+00,2.036132812500000000e+00,1.132812500000000000e-01
4.116699218750000000e+00,1.749511718750000000e+00,4.199218750000000000e-02
