Timestamp,Accuracy,Samplerate
1675253696987275,0,8372
1.488400000000000001e-01,7.905600000000000127e-02,-5.436320000000000041e-01
1.444479999999999931e-01,5.856000000000000094e-02,-5.490000000000000435e-01
1.454239999999999977e-01,3.757599999999999829e-02,-5.319199999999999484e-01
1.312719999999999998e-01,2.635200000000000042e-02,-4.645759999999999890e-01
1.263920000000000043e-01,1.659199999999999911e-02,-3.728319999999999967e-01
1.078479999999999994e-01,2.000799999999999801e-02,-2.971920000000000117e-01
9.711200000000000387e-02,1.561599999999999967e-02,-1.795839999999999936e-01
8.003199999999999203e-02,2.928000000000000047e-02,-5.075199999999999850e-02
6.343999999999999639e-02,3.513600000000000056e-02,6.295199999999999407e-02
5.026399999999999618e-02,4.489599999999999841e-02,1.761679999999999913e-01
4.001599999999999602e-02,5.758399999999999630e-02,3.425759999999999916e-01
3.464799999999999824e-02,7.222399999999999654e-02,4.699439999999999729e-01
3.708799999999999597e-02,8.051999999999999436e-02,5.963359999999999772e-01
4.684800000000000075e-02,4.245600000000000068e-02,7.637199999999999545e-01
2.342400000000000038e-02,8.540000000000000369e-02,8.213040000000000340e-01
3.123199999999999935e-02,9.711200000000000387e-02,1.145335999999999910e+00
4.684800000000000075e-02,3.123199999999999935e-02,1.260991999999999891e+00
2.586399999999999810e-02,-4.879999999999999789e-03,1.263431999999999888e+00
1.464000000000000024e-02,-2.928000000000000047e-03,1.600152000000000019e+00
3.220800000000000052e-02,-4.392000000000000071e-02,1.842200000000000060e+00
3.318399999999999822e-02,-1.171200000000000019e-01,1.858792000000000000e+00
2.439999999999999808e-02,-1.590880000000000072e-01,2.038863999999999788e+00
2.635200000000000042e-02,-1.922719999999999985e-01,2.282375999999999738e+00
4.782399999999999846e-02,-2.459520000000000040e-01,2.369727999999999835e+00
4.538400000000000073e-02,-3.010959999999999748e-01,2.421456000000000053e+00
5.026399999999999618e-02,-3.206160000000000121e-01,2.553215999999999930e+00
7.271199999999999886e-02,-3.420880000000000032e-01,2.673264000000000085e+00
7.271199999999999886e-02,-3.718560000000000199e-01,2.663991999999999916e+00
7.856799999999999895e-02,-3.728319999999999967e-01,2.655208000000000013e+00
8.393599999999999672e-02,-3.659999999999999920e-01,2.712791999999999870e+00
8.881599999999999218e-02,-3.547759999999999803e-01,2.668384000000000089e+00
