Timestamp,is_synced,Samplerate
1716825759999875,1,1024.0299072265625
-3.440917968750000000e+00,-1.484375000000000000e-01,-1.640625000000000000e-01
-3.662109375000000000e+00,4.228515625000000000e-01,-1.528320312500000000e-01
-3.812011718750000000e+00,9.941406250000000000e-01,-1.157226562500000000e-01
-3.813964843750000000e+00,1.666503906250000000e+00,4.697265625000000000e-01
-3.765136718750000000e+00,2.336425781250000000e+00,6.357421875000000000e-01
-3.651855468750000000e+00,2.785644531250000000e+00,5.532226562500000000e-01
-3.419921875000000000e+00,3.242187500000000000e+00,-1.518554687500000000e-01
-3.180664062500000000e+00,3.746582031250000000e+00,6.884765625000000000e-02
-2.836425781250000000e+00,4.125000000000000000e+00,4.882812500000000000e-03
-2.520019531250000000e+00,4.393066406250000000e+00,-3.232421875000000000e-01
-2.053710937500000000e+00,4.679199218750000000e+00,-2.622070312500000000e-01
-1.591308593750000000e+00,4.900390625000000000e+00,2.084960937500000000e-01
-1.054687500000000000e+00,5.077636718750000000e+00,6.201171875000000000e-02
-5.029296875000000000e-01,4.990722656250000000e+00,-5.566406250000000000e-02
3.417968750000000000e-02,4.969238281250000000e+00,-4.101562500000000000e-02
5.576171875000000000e-01,4.851074218750000000e+00,2.871093750000000000e-01
1.075683593750000000e+00,4.664062500000000000e+00,3.935546875000000000e-01
1.610351562500000000e+00,4.286132812500000000e+00,9.472656250000000000e-02
2.079101562500000000e+00,3.879394531250000000e+00,-3.305664062500000000e-01
2.554199218750000000e+00,3.408203125000000000e+00,-2.309570312500000000e-01
2.935546875000000000e+00,3.013183593750000000e+00,-7.128906250000000000e-02
3.298339843750000000e+00,2.454101562500000000e+00,-1.240234375000000000e-01
3.498046875000000000e+00,1.993652343750000000e+00,1.645507812500000000e-01
3.697265625000000000e+00,1.409179687500000000e+00,4.282226562500000000e-01
3.759277343750000000e+00,9.184570312500000000e-01,3.710937500000000000e-02
3.843750000000000000e+00,2.241210937500000000e-01,-2.514648437500000000e-01
3.699707031250000000e+00,-5.122070312500000000e-01,8.691406250000000000e-02
3.570312500000000000e+00,-9.125976562500000000e-01,3.999023437500000000e-01
3.437988281250000000e+00,-1.360839843750000000e+00,2.309570312500000000e-01
3.064453125000000000e+00,-1.893554687500000000e+00,1.289062500000000000e-01
2.801757812500000000e+00,-2.285644531250000000e+00,-3.120117187500000000e-01
2.417968750000000000e+00,-2.607421875000000000e+00,-4.101562500000000000e-01
1.941406250000000000e+00,-2.875000000000000000e+00,-3.769531250000000000e-01
1.380371093750000000e+00,-3.000976562500000000e+00,-2.431640625000000000e-01
7.890625000000000000e-01,-3.083007812500000000e+00,3.720703125000000000e-01
1.953125000000000000e-01,-2.909179687500000000e+00,6.987304687500000000e-01
-1.855468750000000000e-01,-2.979492187500000000e+00,4.555664062500000000e-01
-7.929687500000000000e-01,-2.837402343750000000e+00,-6.933593750000000000e-02
-1.328125000000000000e+00,-2.611328125000000000e+00,-1.396484375000000000e-01
-1.851562500000000000e+00,-2.175781250000000000e+00,3.657226562500000000e-01
-2.322753906250000000e+00,-1.709960937500000000e+00,2.778320312500000000e-01
-2.698730468750000000e+00,-1.368652343750000000e+00,-1.396484375000000000e-01
-3.065429687500000000e+00,-7.792968750000000000e-01,-2.758789062500000000e-01
-3.333007812500000000e+00,-2.973632812500000000e-01,-2.875976562500000000e-01
-3.613769531250000000e+00,2.163085937500000000e-01,-2.568359375000000000e-01
-3.741699218750000000e+00,8.383789062500000000e-01,-1.665039062500000000e-01
-3.838378906250000000e+00,1.492187500000000000e+00,5.083007812500000000e-01
-3.777343750000000000e+00,2.154785156250000000e+00,7.714843750000000000e-01
-3.694824218750000000e+00,2.682128906250000000e+00,5.400390625000000000e-01
-3.478515625000000000e+00,3.071289062500000000e+00,-1.650390625000000000e-01
-3.247070312500000000e+00,3.604003906250000000e+00,-2.695312500000000000e-01
-2.953125000000000000e+00,4.005859375000000000e+00,1.875000000000000000e-01
-2.659179687500000000e+00,4.343750000000000000e+00,2.929687500000000000e-03
