X,Y,Z
-7.451759999999999495e-01,4.779959999999999987e+00,-1.629919999999999980e-01
-3.259839999999999960e-01,5.460720000000000240e+00,2.557119999999999838e+00
-1.220976000000000061e+00,5.812079999999999913e+00,-6.710000000000000409e-01
-1.387383999999999951e+00,5.518303999999999654e+00,-1.329312000000000049e+00
-2.171111999999999931e+00,4.990287999999999613e+00,-2.044719999999999871e-01
-6.763679999999999692e-01,5.023471999999999937e+00,2.791359999999999952e-01
2.830399999999999930e-02,5.241119999999999557e+00,4.387119999999999909e-01
6.890560000000000018e-01,5.552951999999999444e+00,3.084159999999999680e-01
-1.001376000000000044e+00,6.041927999999999521e+00,-8.281359999999999832e-01
-4.274879999999999791e-01,5.292359999999999509e+00,-5.343599999999999461e-01
-1.503039999999999932e-01,4.512048000000000059e+00,6.529439999999999689e-01
1.685551999999999939e+00,4.802407999999999788e+00,2.015440000000000009e-01
1.637728000000000073e+00,4.828759999999999941e+00,3.386719999999999731e-01
1.659200000000000008e+00,4.667720000000000091e+00,-2.610799999999999788e-01
1.664080000000000004e+00,4.562800000000000189e+00,-1.346880000000000022e-01
1.642608000000000068e+00,4.295863999999999905e+00,1.400559999999999861e-01
2.011535999999999991e+00,4.282199999999999562e+00,-1.605520000000000003e-01
2.395592000000000166e+00,4.045031999999999961e+00,2.967039999999999678e-01
2.887496000000000063e+00,3.668784000000000045e+00,4.216320000000000068e-01
2.619584000000000135e+00,3.533608000000000082e+00,-1.410319999999999907e-01
2.812831999999999777e+00,3.331087999999999827e+00,4.118720000000000159e-01
3.037312000000000012e+00,2.978752000000000066e+00,6.099999999999999867e-02
3.306200000000000028e+00,2.736215999999999759e+00,-1.742160000000000097e-01
3.576551999999999953e+00,2.493679999999999897e+00,6.441600000000000104e-02
3.316936000000000107e+00,2.348256000000000121e+00,-2.196000000000000035e-02
3.285216000000000136e+00,2.175991999999999926e+00,1.224879999999999997e-01
3.578504000000000129e+00,1.873920000000000030e+00,5.904799999999999632e-02
3.812256000000000089e+00,1.579167999999999905e+00,8.784000000000000141e-02
3.656095999999999790e+00,1.329799999999999871e+00,1.615280000000000049e-01
3.598024000000000111e+00,1.028704000000000063e+00,4.684800000000000075e-02
3.580455999999999861e+00,6.812479999999999647e-01,1.805599999999999983e-01
3.717584000000000000e+00,6.812479999999999647e-01,3.962559999999999971e-01
3.597535999999999845e+00,5.265520000000000200e-01,9.369600000000000151e-02
3.536048000000000080e+00,3.855199999999999738e-01,3.464799999999999824e-02
3.250567999999999902e+00,6.295199999999999407e-02,2.786480000000000068e-01
3.168584000000000067e+00,-1.268799999999999928e-01,3.679520000000000013e-01
3.307663999999999938e+00,-4.250479999999999814e-01,3.513600000000000056e-01
3.089528000000000052e+00,-7.461520000000000374e-01,-7.124799999999999189e-02
3.563864000000000143e+00,-1.415200000000000014e+00,8.198400000000000132e-02
2.998759999999999870e+00,-1.654320000000000013e+00,6.056080000000000352e-01
3.129055999999999838e+00,-3.108559999999999768e+00,-3.908880000000000132e-01
1.382991999999999999e+00,-2.023248000000000157e+00,-1.170711999999999975e+00
