Timestamp,is_synced,Samplerate
1716880559999461,1,1024.027587890625
1.492675781250000000e+00,-4.236328125000000000e+00,9.082031250000000000e-02
1.175292968750000000e+00,-4.486328125000000000e+00,1.259765625000000000e-01
8.710937500000000000e-01,-4.708984375000000000e+00,2.978515625000000000e-02
6.049804687500000000e-01,-4.847656250000000000e+00,3.515625000000000000e-02
2.255859375000000000e-01,-5.041992187500000000e+00,4.003906250000000000e-02
-1.362304687500000000e-01,-5.078613281250000000e+00,-2.685546875000000000e-02
-4.194335937500000000e-01,-5.219238281250000000e+00,-5.859375000000000000e-03
-8.623046875000000000e-01,-5.258789062500000000e+00,-2.197265625000000000e-02
-1.188476562500000000e+00,-5.222656250000000000e+00,3.906250000000000000e-03
-1.473632812500000000e+00,-5.203613281250000000e+00,-2.294921875000000000e-02
-1.824218750000000000e+00,-5.030761718750000000e+00,-1.523437500000000000e-01
-2.192871093750000000e+00,-4.934570312500000000e+00,8.203125000000000000e-02
-2.418457031250000000e+00,-4.722167968750000000e+00,-2.626953125000000000e-01
-2.686523437500000000e+00,-4.517089843750000000e+00,-7.177734375000000000e-02
-2.945312500000000000e+00,-4.288085937500000000e+00,-1.767578125000000000e-01
-3.213378906250000000e+00,-3.890625000000000000e+00,-1.474609375000000000e-01
-3.358886718750000000e+00,-3.662597656250000000e+00,-1.391601562500000000e-01
-3.613281250000000000e+00,-3.241699218750000000e+00,-2.231445312500000000e-01
-3.842773437500000000e+00,-2.958496093750000000e+00,-1.220703125000000000e-02
-3.942871093750000000e+00,-2.566406250000000000e+00,-2.543945312500000000e-01
-4.083984375000000000e+00,-2.135742187500000000e+00,-3.222656250000000000e-02
-4.159667968750000000e+00,-1.708496093750000000e+00,-1.694335937500000000e-01
-4.201660156250000000e+00,-1.143066406250000000e+00,-8.203125000000000000e-02
-4.194824218750000000e+00,-7.333984375000000000e-01,-1.997070312500000000e-01
-4.240722656250000000e+00,-2.060546875000000000e-01,-2.514648437500000000e-01
-4.267578125000000000e+00,9.326171875000000000e-02,-1.147460937500000000e-01
-4.209960937500000000e+00,6.601562500000000000e-01,-2.749023437500000000e-01
-4.122558593750000000e+00,1.129394531250000000e+00,-3.857421875000000000e-02
-3.974121093750000000e+00,1.669433593750000000e+00,-1.718750000000000000e-01
-3.916503906250000000e+00,2.188476562500000000e+00,7.324218750000000000e-03
-3.708007812500000000e+00,2.586425781250000000e+00,-5.957031250000000000e-02
-3.596191406250000000e+00,3.115234375000000000e+00,-1.035156250000000000e-01
-3.387695312500000000e+00,3.524902343750000000e+00,-2.587890625000000000e-02
-3.174316406250000000e+00,4.025878906250000000e+00,-7.812500000000000000e-02
-2.927734375000000000e+00,4.429687500000000000e+00,-3.662109375000000000e-02
-2.660156250000000000e+00,4.816406250000000000e+00,-6.933593750000000000e-02
-2.432617187500000000e+00,5.158203125000000000e+00,-8.300781250000000000e-03
-2.124023437500000000e+00,5.477539062500000000e+00,3.710937500000000000e-02
-1.872070312500000000e+00,5.841796875000000000e+00,-5.371093750000000000e-02
-1.560546875000000000e+00,6.192382812500000000e+00,2.050781250000000000e-02
-1.238769531250000000e+00,6.374023437500000000e+00,5.175781250000000000e-02
-9.194335937500000000e-01,6.648925781250000000e+00,-2.050781250000000000e-02
-5.795898437500000000e-01,6.740722656250000000e+00,1.323242187500000000e-01
-2.695312500000000000e-01,6.906250000000000000e+00,5.322265625000000000e-02
7.275390625000000000e-02,7.028320312500000000e+00,1.513671875000000000e-01
4.233398437500000000e-01,7.098632812500000000e+00,6.542968750000000000e-02
6.938476562500000000e-01,7.115234375000000000e+00,2.138671875000000000e-01
1.047363281250000000e+00,7.078613281250000000e+00,1.562500000000000000e-01
1.348632812500000000e+00,7.091308593750000000e+00,2.177734375000000000e-01
1.671875000000000000e+00,7.041015625000000000e+00,1.655273437500000000e-01
1.914550781250000000e+00,6.951660156250000000e+00,2.319335937500000000e-01
2.244140625000000000e+00,6.717285156250000000e+00,2.768554687500000000e-01
2.517578125000000000e+00,6.523437500000000000e+00,1.884765625000000000e-01
2.706054687500000000e+00,6.219238281250000000e+00,3.193359375000000000e-01
2.940429687500000000e+00,5.997070312500000000e+00,2.065429687500000000e-01
3.203125000000000000e+00,5.650390625000000000e+00,3.666992187500000000e-01
3.395996093750000000e+00,5.374023437500000000e+00,2.529296875000000000e-01
3.523437500000000000e+00,5.004882812500000000e+00,4.008789062500000000e-01
3.703125000000000000e+00,4.632812500000000000e+00,2.768554687500000000e-01
3.819335937500000000e+00,4.226074218750000000e+00,3.334960937500000000e-01
