Timestamp,is_synced,Samplerate
1716825299999681,1,1024.0308837890625
-1.701660156250000000e+00,4.232910156250000000e+00,1.557617187500000000e-01
-2.148925781250000000e+00,3.766113281250000000e+00,2.119140625000000000e-01
-2.602539062500000000e+00,3.356445312500000000e+00,-3.320312500000000000e-02
-2.963378906250000000e+00,2.899902343750000000e+00,-2.084960937500000000e-01
-3.286132812500000000e+00,2.340820312500000000e+00,1.938476562500000000e-01
-3.447753906250000000e+00,1.757812500000000000e+00,1.899414062500000000e-01
-3.700195312500000000e+00,1.154785156250000000e+00,-1.025390625000000000e-01
-3.785644531250000000e+00,5.253906250000000000e-01,-4.248046875000000000e-02
-3.786621093750000000e+00,3.320312500000000000e-02,1.494140625000000000e-01
-3.810058593750000000e+00,-4.584960937500000000e-01,4.052734375000000000e-02
-3.547363281250000000e+00,-9.697265625000000000e-01,-2.441406250000000000e-03
-3.244628906250000000e+00,-1.473632812500000000e+00,1.748046875000000000e-01
-2.986328125000000000e+00,-2.033203125000000000e+00,1.069335937500000000e-01
-2.636230468750000000e+00,-2.367187500000000000e+00,-1.987304687500000000e-01
-2.386718750000000000e+00,-2.662597656250000000e+00,-2.387695312500000000e-01
-1.883789062500000000e+00,-2.856933593750000000e+00,-4.638671875000000000e-01
-1.295410156250000000e+00,-3.009277343750000000e+00,3.271484375000000000e-02
-8.549804687500000000e-01,-2.990234375000000000e+00,2.465820312500000000e-01
-2.509765625000000000e-01,-2.979492187500000000e+00,1.201171875000000000e-01
2.949218750000000000e-01,-2.957519531250000000e+00,3.125000000000000000e-01
8.481445312500000000e-01,-2.734375000000000000e+00,2.998046875000000000e-01
1.394042968750000000e+00,-2.478515625000000000e+00,-8.300781250000000000e-02
1.875488281250000000e+00,-2.132324218750000000e+00,3.808593750000000000e-02
2.406738281250000000e+00,-1.520019531250000000e+00,1.552734375000000000e-01
2.794921875000000000e+00,-1.234863281250000000e+00,7.910156250000000000e-02
3.173339843750000000e+00,-5.825195312500000000e-01,-1.274414062500000000e-01
3.397949218750000000e+00,-1.201171875000000000e-01,1.943359375000000000e-01
3.552734375000000000e+00,4.643554687500000000e-01,1.953125000000000000e-02
3.711914062500000000e+00,1.033691406250000000e+00,-2.670898437500000000e-01
3.759765625000000000e+00,1.493652343750000000e+00,-1.103515625000000000e-01
3.827148437500000000e+00,2.106445312500000000e+00,-2.451171875000000000e-01
3.707031250000000000e+00,2.713867187500000000e+00,2.827148437500000000e-01
3.538574218750000000e+00,3.290039062500000000e+00,2.636718750000000000e-01
3.248535156250000000e+00,3.686523437500000000e+00,3.759765625000000000e-01
2.916992187500000000e+00,4.171875000000000000e+00,4.956054687500000000e-01
2.529296875000000000e+00,4.500000000000000000e+00,4.257812500000000000e-01
2.186523437500000000e+00,4.663574218750000000e+00,1.870117187500000000e-01
1.715332031250000000e+00,4.716308593750000000e+00,-1.591796875000000000e-01
1.159179687500000000e+00,4.930175781250000000e+00,-1.298828125000000000e-01
6.098632812500000000e-01,5.071777343750000000e+00,-4.394531250000000000e-02
1.064453125000000000e-01,5.075683593750000000e+00,-7.275390625000000000e-02
