Timestamp,Accuracy,Samplerate
1673620676984222,0,8382
7.330735999999999919e+00,-3.581431999999999949e+00,-5.826719999999999677e-01
7.208736000000000033e+00,-3.991839999999999833e+00,1.770951999999999860e+00
7.066727999999999454e+00,-6.063399999999999679e+00,-1.810967999999999911e+00
9.672159999999999647e-01,-6.219071999999999711e+00,-3.222751999999999839e+00
4.278783999999999921e+00,-3.872767999999999766e+00,1.614303999999999961e+00
2.874807999999999808e+00,-5.351408000000000165e+00,1.778271999999999853e+00
4.302208000000000254e+00,-5.698863999999999486e+00,-3.943039999999999878e+00
3.336943999999999910e+00,-4.173864000000000019e+00,2.569808000000000092e+00
1.941751999999999923e+00,-5.868687999999999683e+00,1.888071999999999973e+00
4.879999999999999789e-03,-5.435343999999999731e+00,-2.009095999999999993e+00
9.750240000000000018e-01,-5.474383999999999695e+00,4.943440000000000056e-01
-2.278959999999999875e-01,-6.476735999999999827e+00,1.321992000000000056e+00
-4.366623999999999839e+00,-7.929511999999999894e+00,-2.051063999999999776e+00
-2.083272000000000013e+00,-5.851607999999999699e+00,-9.969839999999999813e-01
-5.080080000000000151e-01,-5.591015999999999764e+00,3.227631999999999834e+00
-3.305711999999999762e+00,-6.275191999999999659e+00,-8.910879999999999912e-01
-2.323367999999999878e+00,-5.889184000000000196e+00,-3.884480000000000155e-01
-4.595983999999999625e+00,-5.371903999999999790e+00,6.231759999999999522e-01
-5.799392000000000102e+00,-4.661375999999999742e+00,-7.163840000000000208e-01
-5.671047999999999867e+00,-4.332463999999999871e+00,-3.181760000000000144e-01
-5.313831999999999667e+00,-3.819087999999999816e+00,-3.049999999999999933e-01
-4.776543999999999457e+00,-4.371503999999999834e+00,-2.967039999999999678e-01
-5.705207999999999835e+00,-3.237391999999999825e+00,3.596559999999999757e-01
-6.032167999999999530e+00,-3.117344000000000115e+00,-1.049687999999999954e+00
-6.877384000000000164e+00,-1.583559999999999857e+00,-6.426959999999999340e-01
-8.066639999999999588e+00,-6.607520000000000060e-01,-1.449360000000000093e-01
-6.765632000000000090e+00,-5.758399999999999630e-02,5.758399999999999630e-02
-5.519280000000000186e+00,1.020896000000000026e+00,-1.000400000000000039e-01
-6.398655999999999899e+00,1.708488000000000007e+00,7.154079999999999329e-01
-6.383040000000000269e+00,1.650415999999999883e+00,-7.315119999999999401e-01
-6.562623999999999569e+00,2.687415999999999805e+00,-2.616168000000000049e+00
-5.404111999999999583e+00,3.157359999999999722e+00,6.944239999999999302e-01
-5.248439999999999550e+00,4.215831999999999802e+00,1.443991999999999942e+00
-7.307799999999999407e+00,5.436808000000000085e+00,-7.720160000000000355e-01
-6.607032000000000238e+00,5.674952000000000218e+00,-5.607119999999999882e-01
-4.393951999999999636e+00,6.914959999999999773e+00,1.215119999999999950e-01
-3.924983999999999806e+00,6.572383999999999560e+00,-1.463511999999999924e+00
-2.713767999999999958e+00,7.503487999999999936e+00,1.111663999999999985e+00
-1.370792000000000010e+00,9.553087999999998914e+00,-1.639680000000000026e-01
4.592080000000000051e-01,7.252168000000000170e+00,-2.430239999999999900e-01
-3.838119999999999976e+00,9.010920000000000485e+00,2.282864000000000004e+00
-1.923208000000000029e+00,8.958703999999999112e+00,-2.006655999999999995e+00
1.956880000000000008e-01,9.046056000000000097e+00,4.592080000000000051e-01
7.978800000000000336e-01,9.202704000000000661e+00,4.723839999999999706e-01
8.296000000000000041e-01,8.715679999999998984e+00,1.864159999999999984e-01
1.122887999999999886e+00,9.275904000000000593e+00,-3.337919999999999776e-01
1.039927999999999964e+00,9.499407999999998964e+00,-1.699703999999999882e+00
1.673351999999999951e+00,9.104616000000000042e+00,5.802319999999999700e-01
3.456992000000000065e+00,7.938296000000000241e+00,4.050400000000000111e-01
4.563775999999999833e+00,7.592303999999999498e+00,-4.001599999999999602e-02
4.911232000000000042e+00,6.844687999999999661e+00,5.143520000000000314e-01
5.582720000000000127e+00,6.663152000000000186e+00,4.421279999999999655e-01
5.455351999999999535e+00,6.074624000000000024e+00,1.761679999999999913e-01
4.797039999999999971e+00,5.669583999999999513e+00,3.240319999999999867e-01
5.591992000000000296e+00,4.904887999999999693e+00,-5.494879999999999765e-01
6.282511999999999652e+00,4.566703999999999652e+00,7.524959999999999427e-01
7.559120000000000061e+00,2.989488000000000145e+00,2.293599999999999806e-02
7.374168000000000056e+00,2.100839999999999819e+00,-7.271199999999999886e-02
6.948144000000000098e+00,1.087752000000000052e+00,2.425360000000000016e-01
6.617280000000000051e+00,9.857599999999999696e-01,4.748239999999999683e-01
6.691455999999999626e+00,2.576640000000000041e-01,3.864960000000000062e-01
6.836879999999999846e+00,-2.703519999999999812e-01,-2.679119999999999835e-01
7.607432000000000194e+00,-9.286639999999999340e-01,1.182423999999999920e+00
8.051999999999999602e+00,-1.725567999999999991e+00,-1.171200000000000019e-01
6.401583999999999719e+00,-2.196487999999999996e+00,7.568880000000000052e-01
7.337568000000000090e+00,-3.662440000000000140e+00,-2.215519999999999989e-01
5.984831999999999930e+00,-5.766695999999999600e+00,2.600551999999999975e+00
6.196623999999999910e+00,-5.645672000000000246e+00,-4.273903999999999925e+00
5.450960000000000250e-01,-5.825255999999999545e+00,-2.832351999999999759e+00
3.505792000000000019e+00,-4.309528000000000247e+00,4.279271999999999743e+00
4.536448000000000036e+00,-4.986871999999999971e+00,-1.963711999999999902e+00
2.483919999999999906e+00,-4.995656000000000319e+00,-1.041391999999999873e+00
3.253983999999999988e+00,-4.895127999999999702e+00,2.430727999999999778e+00
1.634800000000000031e+00,-5.126927999999999486e+00,1.332727999999999913e+00
7.032079999999999442e-01,-5.645183999999999536e+00,-2.789896000000000154e+00
-2.342400000000000038e-01,-5.897967999999999655e+00,2.076928000000000107e+00
-1.075552000000000064e+00,-6.128303999999999974e+00,-2.576640000000000041e-01
-4.373943999999999832e+00,-7.014999999999999680e+00,-1.889048000000000060e+00
-3.087575999999999876e+00,-6.200528000000000262e+00,-2.410720000000000085e-01
-1.629919999999999980e-01,-6.494791999999999454e+00,-9.813680000000000181e-01
-2.503439999999999888e+00,-4.843887999999999749e+00,1.290271999999999863e+00
-3.118319999999999759e+00,-6.309839999999999449e+00,-5.611999999999999628e-02
-6.053639999999999688e+00,-5.573935999999999780e+00,-1.498159999999999936e+00
-5.379223999999999783e+00,-4.574023999999999646e+00,7.563999999999999890e-02
-5.424608000000000096e+00,-3.928399999999999892e+00,2.547360000000000180e-01
-4.349056000000000033e+00,-4.458855999999999931e+00,-8.364319999999999533e-01
-5.647135999999999711e+00,-3.525312000000000001e+00,1.173151999999999973e+00
-4.814607999999999777e+00,-4.337831999999999688e+00,-7.807999999999999836e-03
-6.255183999999999855e+00,-2.138904000000000138e+00,2.928000000000000047e-02
-7.370263999999999704e+00,-1.475711999999999913e+00,-2.625928000000000040e+00
-6.933504000000000111e+00,-4.001599999999999602e-02,1.843175999999999926e+00
-6.135623999999999967e+00,7.715279999999999916e-01,1.110687999999999898e+00
-6.212239999999999540e+00,1.138015999999999917e+00,-8.569280000000000230e-01
-7.199951999999999686e+00,1.591367999999999894e+00,4.240720000000000045e-01
-6.485031999999999464e+00,2.448783999999999850e+00,-1.204383999999999899e+00
-5.362143999999999799e+00,2.922632000000000119e+00,-9.164639999999999453e-01
-5.309439999999999493e+00,3.582895999999999859e+00,1.177543999999999924e+00
-5.753519999999999968e+00,4.412008000000000152e+00,-5.943840000000000234e-01
-7.741144000000000247e+00,6.130743999999999971e+00,-2.952400000000000024e-01
-5.503663999999999668e+00,5.318223999999999840e+00,-5.060559999999999503e-01
-4.347103999999999857e+00,7.172623999999999889e+00,-7.851920000000000011e-01
