Timestamp,Accuracy,Samplerate
1674153356986847,0,8323
-4.557431999999999483e+00,3.656584000000000056e+00,-2.120359999999999800e+00
-4.349543999999999855e+00,2.043255999999999961e+00,-8.710799999999999654e-01
-3.517992000000000008e+00,1.644071999999999978e+00,1.706048000000000009e+00
-4.490575999999999901e+00,2.155495999999999857e+00,3.168584000000000067e+00
-2.626415999999999862e+00,2.435119999999999951e+00,-2.903599999999999959e+00
-2.388271999999999728e+00,-1.406415999999999888e+00,-2.715720000000000134e+00
-2.258464000000000027e+00,-1.605520000000000058e+00,1.188280000000000003e+00
-1.598200000000000065e+00,-1.733376000000000028e+00,-1.991040000000000032e-01
-1.537199999999999955e-01,-1.767047999999999952e+00,3.093920000000000003e-01
8.491200000000000137e-02,-1.648463999999999929e+00,-8.544880000000000253e-01
1.120447999999999888e+00,-2.766471999999999820e+00,-2.161839999999999873e-01
7.398080000000000211e-01,-3.693671999999999844e+00,1.951023999999999869e+00
1.799744000000000010e+00,-3.708311999999999831e+00,-1.067744000000000026e+00
2.830400000000000027e+00,-3.669271999999999867e+00,-1.659200000000000008e+00
3.112464000000000119e+00,-4.025511999999999979e+00,8.852320000000000189e-01
3.612175999999999831e+00,-4.613552000000000319e+00,5.192320000000000269e-01
3.419903999999999833e+00,-4.790207999999999799e+00,2.962159999999999793e-01
4.890247999999999706e+00,-4.338808000000000220e+00,4.133359999999999812e-01
4.560360000000000191e+00,-3.912783999999999818e+00,-6.910079999999999556e-01
5.121559999999999668e+00,-5.122536000000000200e+00,7.344399999999999817e-01
4.645760000000000112e+00,-5.121559999999999668e+00,3.811279999999999668e-01
5.701303999999999483e+00,-4.350519999999999499e+00,-8.276479999999999393e-01
6.316671999999999620e+00,-3.836656000000000066e+00,1.057495999999999992e+00
5.885767999999999667e+00,-3.749303999999999970e+00,-8.193519999999999692e-01
5.812567999999999735e+00,-4.329048000000000229e+00,-8.554640000000000022e-01
5.498783999999999672e+00,-3.194447999999999954e+00,1.480591999999999908e+00
5.089839999999999698e+00,-1.114103999999999983e+00,-1.649928000000000061e+00
